Recorder,Date,Site,Host,Replicate,Host_spp,Host_size,Diatom_species,Diatom_genus,Density 
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Cocconeis2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Craspedostauros,Craspedostauros,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Cylindrotheca ,Cylindrotheca,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Gomphonema1,Gomphonema,6
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Gomphonema2,Gomphonema,13
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Gomphonema3,Gomphonema,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Navicula1,Navicula,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Nitzschia2,Nitzschia,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Opephora,Opephora,10
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Tabularia,Tabularia,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM1,Ecklonia maxima,Adult,Cocconeis1,Cocconeis,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM1,Ecklonia maxima,Adult,Gomphonema1,Gomphonema,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM1,Ecklonia maxima,Adult,Nagumoea,Nagumoea,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Gomphonema1,Gomphonema,5
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Gomphonema2,Gomphonema,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Nagumoea,Nagumoea,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Navicula,Navicula,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM3,Ecklonia maxima,Adult,Cocconeis2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Diploneis,Diploneis,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM3,Ecklonia maxima,Adult,Gomphonema2,Gomphonema,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM3,Ecklonia maxima,Adult,Nagumoea,Nagumoea,3
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP1,Laminaria pallida,Adult,Gomphonema1,Gomphonema,6
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP1,Laminaria pallida,Adult,Gomphonema2,Gomphonema,6
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP2,Laminaria pallida,Adult,Gomphonema1,Gomphonema,4
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Gomphonema1,Gomphonema,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Gomphonema1,Gomphonema,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Gomphonema2,Gomphonema,3
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Gomphonema3,Gomphonema,3
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Navicula1,Navicula,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP1,Laminaria pallida,Adult,Gomphonema1,Gomphonema,15
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP1,Laminaria pallida,Adult,Nagumoea,Nagumoea,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP2,Laminaria pallida,Adult,Nagumoea,Nagumoea,5
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP3,Laminaria pallida,Adult,Gomphonema1,Gomphonema,5
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP3,Laminaria pallida,Adult,Licmophora,Licmophora,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP3,Laminaria pallida,Adult,Nagumoea,Nagumoea,3
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP1,Laminaria pallida,Adult,Gomphonema1,Gomphonema,11
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP1,Laminaria pallida,Adult,Nagumoea,Nagumoea,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP1,Laminaria pallida,Adult,Navicula,Navicula,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP1,Laminaria pallida,Adult,Gomphonema2,Gomphonema,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP2,Laminaria pallida,Adult,Gomphonema5,Gomphonema,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP2,Laminaria pallida,Adult,Nagumoea,Nagumoea,3
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP2,Laminaria pallida,Adult,Navicula1,Navicula,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP3,Laminaria pallida,Adult,Gomphonema3,Gomphonema,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP3,Laminaria pallida,Adult,Nagumoea,Nagumoea,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP3,Laminaria pallida,Adult,Rhoicosphenia,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP3,Laminaria pallida,Adult,Cocconeis2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB4LP1,Laminaria pallida,Adult,Gomphonema1,Gomphonema,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB4LP2,Laminaria pallida,Adult,NA,NA,NA
Mayombo,24-Jul-17,False Bay,L_pal_A,APB4LP3,Laminaria pallida,Adult,Cocconeis2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM1,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM1,Ecklonia maxima,Juvenile,Cocconeis4,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM1,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM1,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM2,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM2,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,4
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM2,Ecklonia maxima,Juvenile,Gomphonema2,Gomphonema,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM2,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,5
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM3,Ecklonia maxima,Juvenile,Amphora2,Amphora,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM3,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM3,Ecklonia maxima,Juvenile,Cocconeis5,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM3,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM3,Ecklonia maxima,Juvenile,Gomphonema2,Gomphonema,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB1EM3,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM1,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM1,Ecklonia maxima,Juvenile,Cocconeis4,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM1,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,10
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM1,Ecklonia maxima,Juvenile,Gomphonema3,Gomphonema,5
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM1,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM1,Ecklonia maxima,Juvenile,Navicula1,Navicula,4
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM1,Ecklonia maxima,Juvenile,Nitzschia2,Nitzschia,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,4
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Cocconeis3,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,9
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Gomphonema4,Gomphonema,4
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Grammatophora,Grammatophora,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Licmophora,Licmophora,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Navicula 1,Navicula,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Navicula3,Navicula,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Nitzschia4,Nitzschia,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Parlibellus,Parlibellus,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Rhoicosphenia,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Tabularia,Tabularia,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM2,Ecklonia maxima,Juvenile,Thalassionema,Thalassionema,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM3,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM3,Ecklonia maxima,Juvenile,Cylindrotheca ,Cylindrotheca,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM3,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,6
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM3,Ecklonia maxima,Juvenile,Gomphonema2,Gomphonema,5
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM3,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM3,Ecklonia maxima,Juvenile,Navicula1,Navicula,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB2EM3,Ecklonia maxima,Juvenile,Tabularia,Tabularia,4
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM1,Ecklonia maxima,Juvenile,Amphora1,Amphora,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM1,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,7
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM1,Ecklonia maxima,Juvenile,Grammatophora,Grammatophora,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM1,Ecklonia maxima,Juvenile,Navicula,Navicula,43
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM1,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,7
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM1,Ecklonia maxima,Juvenile,Rhoicosphenia,Rhoicosphenia,47
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM1,Ecklonia maxima,Juvenile,Trachyneis,Trachyneis,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM2,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,8
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM2,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,6
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM2,Ecklonia maxima,Juvenile,Navicula1,Navicula,17
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM2,Ecklonia maxima,Juvenile,Rhoicosphenia,Rhoicosphenia,15
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM3,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM3,Ecklonia maxima,Juvenile,Cocconeis4,Cocconeis,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM3,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM3,Ecklonia maxima,Juvenile,Nagumoea,Nagumoea,3
Mayombo,24-Jul-17,False Bay,E_max_J,JPB3EM3,Ecklonia maxima,Juvenile,Navicula1,Navicula,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM1,Ecklonia maxima,Juvenile,Cocconeis2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM1,Ecklonia maxima,Juvenile,Rhoicosphenia,Rhoicosphenia,3
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Asterompholus,Asterompholus,1
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM2,Ecklonia maxima,Juvenile,Amphora3,Amphora,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM2,Ecklonia maxima,Juvenile,Cocconeis7,Cocconeis,3
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM2,Ecklonia maxima,Juvenile,Gomphonema1,Gomphonema,6
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM2,Ecklonia maxima,Juvenile,Grammatophora,Grammatophora,2
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM2,Ecklonia maxima,Juvenile,Rhoicosphenia,Rhoicosphenia,3
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Amphora3,Amphora,57
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Amphora4,Amphora,19
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Cocconeis7,Cocconeis,22
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Cylindrotheca ,Cylindrotheca,27
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Gomphonema3,Gomphonema,9
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Grammatophora,Grammatophora,51
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Navicula1,Navicula,13
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Nitzschia5,Nitzschia,21
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Rhoicosphenia,Rhoicosphenia,11
Mayombo,24-Jul-17,False Bay,E_max_J,JPB4EM3,Ecklonia maxima,Juvenile,Thalassionema,Thalassionema,1
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB1LP1,Laminaria pallida,Juvenile,Gomphonema1,Gomphonema,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB1LP1,Laminaria pallida,Juvenile,Opephora,Opephora,1
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB1LP1,Laminaria pallida,Juvenile,Tabularia,Tabularia,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB1LP2,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB1LP3,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis1,Cocconeis,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis2,Cocconeis,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis3,Cocconeis,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis4,Cocconeis,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Gomphonema1,Gomphonema,5
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Gomphonema2,Gomphonema,6
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Gomphonema4,Gomphonema,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Licmophora,Licmophora,1
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Nagumoea,Nagumoea,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Navicula1,Navicula,5
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP1,Laminaria pallida,Juvenile,Nitzschia2,Nitzschia,1
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Cocconeis1,Cocconeis,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Cocconeis2,Cocconeis,5
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Gomphonema1,Gomphonema,9
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Gomphonema2,Gomphonema,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Nagumoea,Nagumoea,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Navicula1,Navicula,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Rhoicosphenia,Rhoicosphenia,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP2,Laminaria pallida,Juvenile,Tabularia,Tabularia,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP3,Laminaria pallida,Juvenile,Amphora1,Amphora,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP3,Laminaria pallida,Juvenile,Cocconeis2,Cocconeis,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP3,Laminaria pallida,Juvenile,Gomphonema4,Gomphonema,8
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP3,Laminaria pallida,Juvenile,Licmophora,Licmophora,1
