Recorder,Date,Site,Host,Replicate,Host_spp,Host_size,Species,Genus,Density 
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Amphora sp1,Amphora,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,11
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Gomphoseptatum sp2,Gomphoseptatum,4
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,3
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Navicula sp1,Navicula,3
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Tabularia sp,Tabularia,4
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM3,Ecklonia maxima,Adult,Trachyneis sp,Trachyneis,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM1,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,3
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM1,Ecklonia maxima,Adult,Cylindrotheca sp,Cylindrotheca,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM1,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM1,Ecklonia maxima,Adult,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM1,Ecklonia maxima,Adult,Navicula sp2,Navicula,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM1,Ecklonia maxima,Adult,Rhoicosphenia sp,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM1,Ecklonia maxima,Adult,Tabularia sp,Tabularia,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Cocconeis sp1,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,14
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Cocconeis sp3,Cocconeis,6
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Cylindrotheca sp,Cylindrotheca,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,8
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Gomphoseptatum sp2,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Gomphoseptatum sp3,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,8
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Navicula sp1,Navicula,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM2,Ecklonia maxima,Adult,Tabularia sp,Tabularia,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Amphora sp1,Amphora,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Amphora sp2,Amphora,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Craspedostauros sp,Craspedostauros,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Cylindrotheca sp,Cylindrotheca,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,6
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Gomphoseptatum sp2,Gomphoseptatum,13
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Gomphoseptatum sp3,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Navicula sp1,Navicula,3
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Nitzschia sp1,Nitzschia,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB3EM3,Ecklonia maxima,Adult,Tabularia sp,Tabularia,12
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM1,Ecklonia maxima,Adult,Cocconeis sp1,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM1,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,4
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM1,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM2,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM2,Ecklonia maxima,Adult,Gomphoseptatum sp2,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM2,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM2,Ecklonia maxima,Adult,Navicula sp1,Navicula,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM3,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM3,Ecklonia maxima,Adult,Diploneis sp,Diploneis,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM3,Ecklonia maxima,Adult,Gomphoseptatum sp2,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB4EM3,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,3
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB1LP1,Laminaria pallida,Adult,Gomphoseptatum sp1,Gomphoseptatum,6
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB1LP1,Laminaria pallida,Adult,Gomphoseptatum sp2,Gomphoseptatum,6
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB1LP2,Laminaria pallida,Adult,Gomphoseptatum sp1,Gomphoseptatum,4
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB1LP3,Laminaria pallida,Adult,Gomphoseptatum sp1,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB1LP3,Laminaria pallida,Adult,Gomphoseptatum sp2,Gomphoseptatum,3
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB1LP3,Laminaria pallida,Adult,Gomphoseptatum sp3,Gomphoseptatum,3
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB1LP3,Laminaria pallida,Adult,Navicula sp1,Navicula,2
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB2LP1,Laminaria pallida,Adult,Gomphoseptatum sp1,Gomphoseptatum,15
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB2LP1,Laminaria pallida,Adult,Nagumoea sp,Nagumoea,2
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB2LP2,Laminaria pallida,Adult,Nagumoea sp,Nagumoea,5
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB2LP3,Laminaria pallida,Adult,Gomphoseptatum sp1,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB2LP3,Laminaria pallida,Adult,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB2LP3,Laminaria pallida,Adult,Nagumoea sp,Nagumoea,3
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP1,Laminaria pallida,Adult,Gomphoseptatum sp1,Gomphoseptatum,11
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP1,Laminaria pallida,Adult,Nagumoea sp,Nagumoea,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP1,Laminaria pallida,Adult,Navicula sp1,Navicula,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP2,Laminaria pallida,Adult,Gomphoseptatum sp2,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP2,Laminaria pallida,Adult,Gomphoseptatum sp5,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP2,Laminaria pallida,Adult,Nagumoea sp,Nagumoea,3
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP2,Laminaria pallida,Adult,Navicula sp1,Navicula,2
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP3,Laminaria pallida,Adult,Gomphoseptatum sp3,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP3,Laminaria pallida,Adult,Nagumoea sp,Nagumoea,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP3,Laminaria pallida,Adult,Rhoicosphenia sp,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB3LP3,Laminaria pallida,Adult,Cocconeis sp2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB4LP1,Laminaria pallida,Adult,Gomphoseptatum sp1,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB4LP2,Laminaria pallida,Adult,NA,NA,NA
Mayombo,24-Jul-17,False Bay,Adult Laminaria pallida,APB4LP3,Laminaria pallida,Adult,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM1,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM1,Ecklonia maxima,Juvenile,Cocconeis sp4,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM1,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM1,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM2,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM2,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,4
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM2,Ecklonia maxima,Juvenile,Gomphoseptatum sp2,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM2,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,5
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM3,Ecklonia maxima,Juvenile,Amphora sp2,Amphora,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM3,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM3,Ecklonia maxima,Juvenile,Cocconeis sp5,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM3,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM3,Ecklonia maxima,Juvenile,Gomphoseptatum sp2,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB1EM3,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM1,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM1,Ecklonia maxima,Juvenile,Cocconeis sp4,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM1,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,10
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM1,Ecklonia maxima,Juvenile,Gomphoseptatum sp3,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM1,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM1,Ecklonia maxima,Juvenile,Navicula sp1,Navicula,4
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM1,Ecklonia maxima,Juvenile,Nitzschia sp1,Nitzschia,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,4
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Cocconeis sp3,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,9
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Gomphoseptatum sp4,Gomphoseptatum,4
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Grammatophora sp,Grammatophora,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Navicula sp1,Navicula,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Navicula sp3,Navicula,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Nitzschia sp2,Nitzschia,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Parlibellus sp,Parlibellus,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Rhoicosphenia sp,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Tabularia sp,Tabularia,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM2,Ecklonia maxima,Juvenile,Thalassionema sp,Thalassionema,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM3,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM3,Ecklonia maxima,Juvenile,Cylindrotheca sp,Cylindrotheca,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM3,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,6
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM3,Ecklonia maxima,Juvenile,Gomphoseptatum sp2,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM3,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM3,Ecklonia maxima,Juvenile,Navicula sp1,Navicula,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB2EM3,Ecklonia maxima,Juvenile,Tabularia sp,Tabularia,4
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM1,Ecklonia maxima,Juvenile,Amphora sp1,Amphora,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM1,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,7
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM1,Ecklonia maxima,Juvenile,Grammatophora sp,Grammatophora,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM1,Ecklonia maxima,Juvenile,Navicula sp1,Navicula,43
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM1,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,7
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM1,Ecklonia maxima,Juvenile,Rhoicosphenia sp,Rhoicosphenia,47
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM1,Ecklonia maxima,Juvenile,Trachyneis sp,Trachyneis,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM2,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,8
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM2,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,6
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM2,Ecklonia maxima,Juvenile,Navicula sp1,Navicula,17
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM2,Ecklonia maxima,Juvenile,Rhoicosphenia sp,Rhoicosphenia,15
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM3,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM3,Ecklonia maxima,Juvenile,Cocconeis sp4,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM3,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM3,Ecklonia maxima,Juvenile,Nagumoea sp,Nagumoea,3
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB3EM3,Ecklonia maxima,Juvenile,Navicula sp1,Navicula,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM1,Ecklonia maxima,Juvenile,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM1,Ecklonia maxima,Juvenile,Rhoicosphenia sp,Rhoicosphenia,3
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM2,Ecklonia maxima,Juvenile,Amphora sp3,Amphora,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM2,Ecklonia maxima,Juvenile,Cocconeis sp6,Cocconeis,3
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM2,Ecklonia maxima,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,6
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM2,Ecklonia maxima,Juvenile,Grammatophora sp,Grammatophora,2
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM2,Ecklonia maxima,Juvenile,Rhoicosphenia sp,Rhoicosphenia,3
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Asteromphalus sp,Asteromphalus,1
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Amphora sp3,Amphora,57
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Amphora sp4,Amphora,19
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Cocconeis sp6,Cocconeis,22
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Cylindrotheca sp,Cylindrotheca,27
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Gomphoseptatum sp3,Gomphoseptatum,9
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Grammatophora sp,Grammatophora,51
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Navicula sp1,Navicula,13
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Nitzschia sp3,Nitzschia,21
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Rhoicosphenia sp,Rhoicosphenia,11
Mayombo,24-Jul-17,False Bay,Juvenile Ecklonia maxima,JPB4EM3,Ecklonia maxima,Juvenile,Thalassionema sp,Thalassionema,1
